"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
005,,005,,,005,,,,,,,,,,,,,,,,,,
madalien,,madalien,,,"Mad Alien",,,"(set 1)",,,,,,,,,,,,,,,
madalien,,madalienb,,,"Mad Alien",,,"(set 2, alt gfx)",,,,,,,,,,,,,,,
madball,,madballn,,,"Mad Ball V2.0",,,"(With Nudity)",,,,,,,,,,,,,,,
madball,,madball,,,"Mad Ball V2.0",,,,,,,,,,,,,,,,,,
madcrash,,madcrash,,,"Mad Crasher",,,,,,,,,,,,,,,,,,
madcrash,,madcrush,,,"Mad Crusher",,,(Japan),,,,,,,,,,,,,,,
maddog,,maddoga,,,"Mad Dog McCree v1C board rev.A",,,,,,,,,,,,,,,,,,
maddog,,maddog,,,"Mad Dog McCree v2.03 board rev.B",,,,,,,,,,,,,,,,,,
maddog2,,maddog2,,,"Mad Dog II: The Lost Gold v2.04",,,,,,,,,,,,,,,,,,
maddog2,,maddog2_202,,,"Mad Dog II: The Lost Gold v2.02",,,,,,,,,,,,,,,,,,
maddog2,,maddog2_100,,,"Mad Dog II: The Lost Gold v1.00",,,,,,,,,,,,,,,,,,
maddonna,,maddonna,,,"Mad Donna",,,"(set 1)",,,,,,,,,,,,,,,
maddonna,,maddonnb,,,"Mad Donna",,,"(set 2)",,,,,,,,,,,,,,,
madgear,,madgearj,,,"Mad Gear",,,(Japan),,,,,,,,,,,,,,,
madgear,,madgear,,,"Mad Gear",,,(US),,,,,,,,,,,,,,,
madgear,,ledstorm,,,"Led Storm",,,(US),,,,,,,,,,,,,,,
madmotor,,madmotor,,,"Mad Motor",,,(prototype),,,,,,,,,,,,,,,
madshark,,madshark,,,"Mad Shark",,,,,,,,,,,,,,,,,,
madzoo,,madzoo,,,"Mad Zoo",,,"(version U450C)",,,,,,,,,,,,,,,
magdrop2,,magdrop2,,,"Magical Drop II",,,,,,,,,,,,,,,,,,
magdrop3,,magdrop3,,,"Magical Drop III",,,,,,,,,,,,,,,,,,
magerror,,magerror,,,"Magical Error wo Sagase",,,,,,,,,,,,,,,,,,
magic10,,magic10b,,,"Magic's 10",,,"(ver. 16.45)",,,,,,,,,,,,,,,
magic10,,magic10c,,,"Magic's 10",,,"(ver. 16.15)",,,,,,,,,,,,,,,
magic10,,magic10,,,"Magic's 10",,,"(ver. 16.55)",,,,,,,,,,,,,,,
magic102,,magic102,,,"Magic's 10 2",,,"(ver 1.1)",,,,,,,,,,,,,,,
magicard,,magicardb,,,"Magic Card",,,"(set 3)",,,,,,,,,,,,,,,
magicard,,magicardj,,,"Magic Card Jackpot",,,(4.01),,,,,,,,,,,,,,,
magicard,,magicard,,,"Magic Card",,,"(set 1)",,,,,,,,,,,,,,,
magicard,,magicarda,,,"Magic Card",,,"(set 2)",,,,,,,,,,,,,,,
magicbom,,magicbom,,,"Magic Bomb",,,"(Version 1)",,,,,,,,,,,,,,,
magicbub,,magicbubb,,,"Magic Bubble",,,"(Adult version, YS-0211 PCB)",,,,,,,,,,,,,,,
magicbub,,magicbuba,,,"Magic Bubble",,,"(Adult version, YS-1302 PCB)",,,,,,,,,,,,,,,
magicbub,,magicbub,,,"Magic Bubble",,,,,,,,,,,,,,,,,,
magicfly,,magicfly,,,"Magic Fly",,,,,,,,,,,,,,,,,,
magicle,,magicle,,,"Magic Lotto Export",,,(5.03),,,,,,,,,,,,,,,
magicrd2,,magicrd2b,,,"Magic Card II",,,"(green TAB or Impera board)",,,,,,,,,,,,,,,
magicrd2,,magicrd2c,,,"Magic Card II",,,"(blue TAB board, encrypted)",,,,,,,,,,,,,,,
magicrd2,,magicrd2,,,"Magic Card II",,,(Bulgarian),,,,,,,,,,,,,,,
magicrd2,,magicrd2a,,,"Magic Card II",,,"(Nov, Yugoslavian)",,,,,,,,,,,,,,,
magicstk,,magicstk,,,"Magic Sticks",,,,,,,,,,,,,,,,,,
magictg,,magictga,,,"Magic the Gathering: Armageddon",,,"(set 2)",,,,,,,,,,,,,,,
magictg,,magictg,,,"Magic the Gathering: Armageddon",,,"(set 1)",,,,,,,,,,,,,,,
magix,,magixb,,,"Magix / Rock",,,"(no copyright message)",,,,,,,,,,,,,,,
magix,,magix,,,"Magix / Rock",,,,,,,,,,,,,,,,,,
magjoker,,magjoker,,,"Magic Joker",,,(v1.25.10.2000),,,,,,,,,,,,,,,
maglord,,maglordh,,,"Magician Lord",,,(NGH-005),,,,,,,,,,,,,,,
maglord,,maglord,,,"Magician Lord",,,(NGM-005),,,,,,,,,,,,,,,
magmax,,magmax,,,"Mag Max",,,,,,,,,,,,,,,,,,
magodds,,magoddsc,,,"Magical Odds",,,"(set 4, custom encrypted CPU block)",,,,,,,,,,,,,,,
magspot,,magspot,,,"Magical Spot",,,,,,,,,,,,,,,,,,
magspot2,,magspot2,,,"Magical Spot II",,,,,,,,,,,,,,,,,,
magtouch,,magtouch,,,"Magical Touch",,,,,,,,,,,,,,,,,,
magtruck,,magtruck,,,"Magical Truck Adventure",,,(Japan),,,,,,,,,,,,,,,
magzun,,magzun,,,"Magical Zunou Power",,,"(J 961031 V1.000)",,,,,,,,,,,,,,,
mahmajn,,mahmajn,,,"Tokoro San no MahMahjan",,,"(Japan, ROM Based)",,,,,,,,,,,,,,,
mahmajn2,,mahmajn2,,,"Tokoro San no MahMahjan 2",,,"(Japan, ROM Based)",,,,,,,,,,,,,,,
mahretsu,,mahretsu,,,"Mahjong Kyo Retsuden",,,"(NGM-004 ~ NGH-004)",,,,,,,,,,,,,,,
maiko,,maiko,,,Maikobana,,,"(Japan 900802)",,,,,,,,,,,,,,,
mainevt,,mainevt2p,,,"The Main Event",,,"(2 Players ver. X)",,,,,,,,,,,,,,,
mainevt,,mainevto,,,"The Main Event",,,"(4 Players ver. F)",,,,,,,,,,,,,,,
mainevt,,mainevt,,,"The Main Event",,,"(4 Players ver. Y)",,,,,,,,,,,,,,,
mainevt,,ringohja,,,"Ring no Ohja",,,"(Japan 2 Players ver. N)",,,,,,,,,,,,,,,
mainsnk,,mainsnk,,,"Main Event",,,(1984),,,,,,,,,,,,,,,
majrjhdx,,majrjhdx,,,"Mahjong Raijinhai DX",,,,,,,,,,,,,,,,,,
majs101b,,majs101b,,,"Mahjong Studio 101 [BET]",,,(Japan),,,,,,,,,,,,,,,
majtitl2,,skingame,,,"The Irem Skins Game",,,"(US set 1)",,,,,,,,,,,,,,,
majtitl2,,skingame2,,,"The Irem Skins Game",,,"(US set 2)",,,,,,,,,,,,,,,
majtitl2,,majtitl2,,,"Major Title 2",,,"(World, set 1)",,,,,,,,,,,,,,,
majtitl2,,majtitl2j,,,"Major Title 2",,,(Japan),,,,,,,,,,,,,,,
majtitle,,majtitlej,,,"Major Title",,,(Japan),,,,,,,,,,,,,,,
majtitle,,majtitle,,,"Major Title",,,(World),,,,,,,,,,,,,,,
majxtal7,,majxtal7,,,"Mahjong X-Tal 7 - Crystal Mahjong / Mahjong Diamond 7",,,(Japan),,,,,,,,,,,,,,,
makaijan,,makaijan,,,"Makaijan [BET]",,,(Japan),,,,,,,,,,,,,,,
malzak,,malzak2,,,"Malzak II",,,,,,,,,,,,,,,,,,
malzak,,malzak,,,Malzak,,,,,,,,,,,,,,,,,,
mamboagg,,mamboagga,,,"Mambo A Go-Go e-Amusement",,,"(GQA40 VER. JRB)",,,,,,,,,,,,,,,
mamboagg,,mamboagg,,,"Mambo A Go-Go",,,"(GQA40 VER. JAB)",,,,,,,,,,,,,,,
mangchi,,mangchi,,,Mang-Chi,,,,,,,,,,,,,,,,,,
maniach,,maniach2,,,"Mania Challenge",,,"(set 2)",,,,,,,,,,,,,,,
maniach,,maniach,,,"Mania Challenge",,,"(set 1)",,,,,,,,,,,,,,,
maniacsq,,maniacsq,,,"Maniac Square",,,(unprotected),,,,,,,,,,,,,,,
maniacsq,,maniacsp,,,"Maniac Square",,,(prototype),,,,,,,,,,,,,,,
manxtt,,manxtt,,,"Manx TT Superbike - DX",,,"(Revision D)",,,,,,,,,,,,,,,
manxttc,,manxttc,,,"Manx TT Superbike - Twin",,,"(Revision C)",,,,,,,,,,,,,,,
manybloc,,manybloc,,,"Many Block",,,,,,,,,,,,,,,,,,
mappy,,mappyj,,,Mappy,,,(Japan),,,,,,,,,,,,,,,
mappy,,mappy,,,Mappy,,,(US),,,,,,,,,,,,,,,
marble,,marble3,,,"Marble Madness",,,"(set 3)",,,,,,,,,,,,,,,
marble,,marble4,,,"Marble Madness",,,"(set 4)",,,,,,,,,,,,,,,
marble,,marble5,,,"Marble Madness",,,"(set 5 - LSI Cartridge)",,,,,,,,,,,,,,,
marble,,marble,,,"Marble Madness",,,"(set 1)",,,,,,,,,,,,,,,
marble,,marble2,,,"Marble Madness",,,"(set 2)",,,,,,,,,,,,,,,
marineb,,marineb,,,"Marine Boy",,,,,,,,,,,,,,,,,,
marinedt,,marinedt,,,"Marine Date",,,,,,,,,,,,,,,,,,
mariner,,mariner,,,Mariner,,,,,,,,,,,,,,,,,,
mariner,,800fath,,,"800 Fathoms",,,,,,,,,,,,,,,,,,
mario,,marioj,,,"Mario Bros.",,,(Japan),,,,,,,,,,,,,,,
mario,,marioo,,,"Mario Bros.",,,"(US, Unknown Rev)",,,,,,,,,,,,,,,
mario,,masao,,,Masao,,,,,,,,,,,,,,,,,,
mario,,marioe,,,"Mario Bros.",,,"(US, Revision E)",,,,,,,,,,,,,,,
mario,,pestplce,,,"Pest Place",,,,,,,,,,,,,,,,,,
mario,,mario,,,"Mario Bros.",,,"(US, Revision F)",,,,,,,,,,,,,,,
mario,,mariobl,,,"Mario Bros.",,,"(bootleg on Ambush Hardware)",,,,,,,,,,,,,,,
markham,,markham,,,Markham,,,,,,,,,,,,,,,,,,
mars,,mars,,,Mars,,,,,,,,,,,,,,,,,,
martmast,,martmastc102,,,"Martial Masters",,,"(ver. 102, 101, 101CN)",,,,,,,,,,,,,,,
martmast,,martmastc,,,"Martial Masters",,,"(ver. 104, 102, 101CN)",,,,,,,,,,,,,,,
martmast,,martmast,,,"Martial Masters",,,"(ver. 104, 102, 102US)",,,,,,,,,,,,,,,
maruchan,,maruchan,,,"Maru-Chan de Goo!",,,"(J 971216 V1.000)",,,,,,,,,,,,,,,
marukin,,marukin,,,"Super Marukin-Ban",,,"(Japan 901017)",,,,,,,,,,,,,,,
marukodq,,marukodq,,,"Chibi Marukochan Deluxe Quiz",,,,,,,,,,,,,,,,,,
marvins,,marvins,,,"Marvin's Maze",,,,,,,,,,,,,,,,,,
marvland,,marvlandj,,,"Marvel Land",,,(Japan),,,,,,,,,,,,,,,
marvland,,marvland,,,"Marvel Land",,,(US),,,,,,,,,,,,,,,
mastboy,,mastboyi,,,"Master Boy",,,"(Italian, PCB Rev A, set 1)",,,,,,,,,,,,,,,
mastboy,,mastboyia,,,"Master Boy",,,"(Italian, PCB Rev A, set 2)",,,,,,,,,,,,,,,
mastboy,,mastboy,,,"Master Boy",,,"(Spanish, PCB Rev A)",,,,,,,,,,,,,,,
masterw,,masterwj,,,"Master of Weapon",,,(Japan),,,,,,,,,,,,,,,
masterw,,masterwu,,,"Master of Weapon",,,(US),,,,,,,,,,,,,,,
masterw,,masterw,,,"Master of Weapon",,,(World),,,,,,,,,,,,,,,
mastkin,,mastkin,,,"The Masters of Kin",,,,,,,,,,,,,,,,,,
match98,,match98,,,"Match '98",,,"(ver. 1.33)",,,,,,,,,,,,,,,
matchit,,matchit,,,"Match It",,,,,,,,,,,,,,,,,,
matchit,,sichuan2,,,"Sichuan II",,,"(hack, set 1)",,,,,,,,,,,,,,,
matchit,,shisen,,,"Shisensho - Joshiryo-Hen",,,(Japan),,,,,,,,,,,,,,,
matchit,,sichuan2a,,,"Sichuan II",,,"(hack, set 2)",,,,,,,,,,,,,,,
matchit2,,shisen2,,,"Shisensho II",,,,,,,,,,,,,,,,,,
matchit2,,matchit2,,,"Match It II",,,,,,,,,,,,,,,,,,
matmania,,excthour,,,"Exciting Hour",,,,,,,,,,,,,,,,,,
matmania,,matmania,,,"Mat Mania",,,,,,,,,,,,,,,,,,
matrim,,matrimbl,,,"Matrimelee / Shin Gouketsuji Ichizoku Toukon",,,(bootleg),,,,,,,,,,,,,,,
matrim,,matrim,,,"Matrimelee / Shin Gouketsuji Ichizoku Toukon",,,"(NGM-2660 ~ NGH-2660)",,,,,,,,,,,,,,,
mausuke,,mausuke,,,"Mausuke no Ojama the World",,,"(J 960314 V1.000)",,,,,,,,,,,,,,,
maverik,,maverik,,,Maverik,,,,,,,,,,,,,,,,,,
maxaflex,,maxaflex,,,Max-A-Flex,,,,,,,,,,,,,,,,,,
maxforce,,maxf_ng,,,"Maximum Force",,,"(No Gore version)",,,,,,,,,,,,,,,
maxforce,,maxforce,,,"Maximum Force v1.05",,,,,,,,,,,,,,,,,,
maxforce,,maxf_102,,,"Maximum Force v1.02",,,,,,,,,,,,,,,,,,
maxideal,,maxideal,,,Maxi-Dealer,,,,,,,,,,,,,,,,,,
maxrpm,,maxrpm,,,"Max RPM",,,"(ver 2)",,,,,,,,,,,,,,,
maya,,mayab,,,Maya,,,"(set 3)",,,,,,,,,,,,,,,
maya,,mayac,,,Maya,,,"(set 4, clean)",,,,,,,,,,,,,,,
maya,,mayaa,,,Maya,,,"(set 2)",,,,,,,,,,,,,,,
maya,,maya,,,Maya,,,"(set 1)",,,,,,,,,,,,,,,
mayday,,maydaya,,,Mayday,,,"(set 2)",,,,,,,,,,,,,,,
mayday,,maydayb,,,Mayday,,,"(set 3)",,,,,,,,,,,,,,,
mayday,,batlzone,,,"Battle Zone",,,"(bootleg of Mayday)",,,,,,,,,,,,,,,
mayday,,mayday,,,Mayday,,,"(set 1)",,,,,,,,,,,,,,,
mayhem,,mayhem,,,"Mayhem 2002",,,,,,,,,,,,,,,,,,
mayjinsn,,mayjinsn,,,Mayjinsen,,,,,,,,,,,,,,,,,,
mayjisn2,,mayjisn2,,,"Mayjinsen 2",,,,,,,,,,,,,,,,,,
mayumi,,mayumi,,,"Kikiippatsu Mayumi-chan",,,(Japan),,,,,,,,,,,,,,,
maze,,maze,,,"Amazing Maze",,,,,,,,,,,,,,,,,,
mazeinv,,mazeinv,,,"Maze Invaders",,,(prototype),,,,,,,,,,,,,,,
mazerbla,,mazerblaa,,,"Mazer Blazer",,,"(set 2)",,,,,,,,,,,,,,,
mazerbla,,mazerbla,,,"Mazer Blazer",,,"(set 1)",,,,,,,,,,,,,,,
mazinger,,mazinger,,,"Mazinger Z",,,(World),,,,,,,,,,,,,,,
mbombrd,,mbombrdj,,,"Muscle Bomber Duo: Heat Up Warriors",,,"(Japan 931206)",,,,,,,,,,,,,,,
mbombrd,,mbombrd,,,"Muscle Bomber Duo: Ultimate Team Battle",,,"(World 931206)",,,,,,,,,,,,,,,
mbutrfly,,mbutrfly,,,"Magical Butterfly",,,"(version U350C, protected)",,,,,,,,,,,,,,,
mcatadv,,catt,,,Catt,,,(Japan),,,,,,,,,,,,,,,
mcatadv,,mcatadvj,,,"Magical Cat Adventure",,,(Japan),,,,,,,,,,,,,,,
mcatadv,,mcatadv,,,"Magical Cat Adventure",,,,,,,,,,,,,,,,,,
mchampdx,,mchampdxb,,,"Multi Champ Deluxe",,,"(ver. 1114, 14/11/1999)",,,,,,,,,,,,,,,
mchampdx,,mchampdxa,,,"Multi Champ Deluxe",,,"(ver. 1126, 26/11/1999)",,,,,,,,,,,,,,,
mchampdx,,mchampdx,,,"Multi Champ Deluxe",,,"(ver. 0106, 06/01/2000)",,,,,,,,,,,,,,,
mclass,,mclass,,,"Magic Class",,,"(Ver 2.2)",,,,,,,,,,,,,,,
mcnpshnt,,mcnpshnt,,,"Mahjong Campus Hunting",,,(Japan),,,,,,,,,,,,,,,
mcolors,,mcolors,,,"Magic Colors",,,"(ver. 1.7a)",,,,,,,,,,,,,,,
mcontest,,mcontest,,,"Miss Mahjong Contest",,,(Japan),,,,,,,,,,,,,,,
mdhorse,,mdhorse,,,"Derby Quiz My Dream Horse",,,"(Japan, MDH1/VER.A2)",,,,,,,,,,,,,,,
mdrawpkr,,mdrawpkr,,,"Draw Poker - Joker's Wild",,,(Standard),,,,,,,,,,,,,,,
mdrink,,mdrink,,,"Magic Drink",,,"(Ver 1.2)",,,,,,,,,,,,,,,
mechatt,,mechattu1,,,"Mechanized Attack",,,"(US, Version 1, Single Player)",,,,,,,,,,,,,,,
mechatt,,mechattu,,,"Mechanized Attack",,,(US),,,,,,,,,,,,,,,
mechatt,,mechatt,,,"Mechanized Attack",,,(World),,,,,,,,,,,,,,,
medlanes,,medlanes,,,"Meadows Lanes",,,,,,,,,,,,,,,,,,
megablst,,megablst,,,"Mega Blast",,,(World),,,,,,,,,,,,,,,
megablst,,megablstj,,,"Mega Blast",,,(Japan),,,,,,,,,,,,,,,
megadon,,megadon,,,Megadon,,,,,,,,,,,,,,,,,,
megadpkr,,megadpkr,,,"Mega Double Poker",,,"(conversion kit, set 1)",,,,,,,,,,,,,,,
megaman,,megamana,,,"Mega Man: The Power Battle",,,"(CPS1, Asia 951006)",,,,,,,,,,,,,,,
megaman,,rmancp2j,,,"Rockman: The Power Battle",,,"(CPS2, Japan 950922)",,,,,,,,,,,,,,,
megaman,,rockmanj,,,"Rockman: The Power Battle",,,"(CPS1, Japan 950922)",,,,,,,,,,,,,,,
megaman,,mmancp2u,,,"Mega Man: The Power Battle",,,"(CPS2, USA 951006, SAMPLE Version)",,,,,,,,,,,,,,,
megaman,,megaman,,,"Mega Man: The Power Battle",,,"(CPS1, USA 951006)",,,,,,,,,,,,,,,
megaman,,mmancp2ur1,,,"Mega Man: The Power Battle",,,"(CPS2, USA 950926, SAMPLE Version)",,,,,,,,,,,,,,,
megaman2,,gigaman2,,,"Giga Man 2: The Power Fighters",,,"(bootleg of Mega Man 2: The Power Fighters)",,,,,,,,,,,,,,,
megaman2,,rockman2j,,,"Rockman 2: The Power Fighters",,,"(Japan 960708)",,,,,,,,,,,,,,,
megaman2,,megaman2a,,,"Mega Man 2: The Power Fighters",,,"(Asia 960708)",,,,,,,,,,,,,,,
megaman2,,megaman2,,,"Mega Man 2: The Power Fighters",,,"(USA 960708)",,,,,,,,,,,,,,,
megaman2,,megaman2h,,,"Mega Man 2: The Power Fighters",,,"(Hispanic 960712)",,,,,,,,,,,,,,,
megaman2,,megamn2d,,,"Mega Man 2: The Power Fighters",,,"(USA 960708 Phoenix Edition) (bootleg)",,,,,,,,,,,,,,,
megaplay,,megaplay,,,"Mega Play BIOS",,,,,,,,,,,,,,,,,,
megat,,megat,,,"Pit Boss Megatouch",,,(9234-20-01),,,,,,,,,,,,,,,
megat3,,megat3nj,,,"Megatouch III",,,"(9255-20-07 ROG, New Jersey version)",,,,,,,,,,,,,,,
megat3,,megat3te,,,"Megatouch III Tournament Edition",,,"(9255-30-01 ROE, Standard version)",,,,,,,,,,,,,,,
megat3,,megat3c,,,"Megatouch III",,,"(9255-20-01 ROB, Standard version)",,,,,,,,,,,,,,,
megat3,,megat3,,,"Megatouch III",,,"(9255-20-01 RON, Standard version)",,,,,,,,,,,,,,,
megat3,,megat3b,,,"Megatouch III",,,"(9255-20-01 ROF, Standard version)",,,,,,,,,,,,,,,
megat3,,megat3d,,,"Megatouch III",,,"(9255-20-01 ROA, Standard version)",,,,,,,,,,,,,,,
megat3,,megat3ca,,,"Megatouch III",,,"(9255-20-06 RON, California version)",,,,,,,,,,,,,,,
megat4,,megat4smn,,,"Super Megatouch IV",,,"(9255-41-02 ROC, Minnesota version)",,,,,,,,,,,,,,,
megat4,,megat4te,,,"Megatouch IV Tournament Edition",,,"(9255-50-01 ROD, Standard version)",,,,,,,,,,,,,,,
megat4,,megat4snj,,,"Super Megatouch IV",,,"(9255-41-07 ROG, New Jersey version)",,,,,,,,,,,,,,,
megat4,,megat4st,,,"Super Megatouch IV Tournament Edition",,,"(9255-51-01 ROB, Standard version)",,,,,,,,,,,,,,,
megat4,,megat4stg,,,"Super Megatouch IV Turnier Version",,,"(9255-51-50 ROA, Bi-Lingual GER/ENG version)",,,,,,,,,,,,,,,
megat4,,megat4sb,,,"Super Megatouch IV",,,"(9255-41-01 ROC, Standard version)",,,,,,,,,,,,,,,
megat4,,megat4s,,,"Super Megatouch IV",,,"(9255-41-01 ROG, Standard version)",,,,,,,,,,,,,,,
megat4,,megat4sa,,,"Super Megatouch IV",,,"(9255-41-01 ROE, Standard version)",,,,,,,,,,,,,,,
megat4,,megat4,,,"Megatouch IV",,,"(9255-40-01 ROE, Standard version)",,,,,,,,,,,,,,,
megat4,,megat4a,,,"Megatouch IV",,,"(9255-40-01 ROD, Standard version)",,,,,,,,,,,,,,,
megat5,,megat5nj,,,"Megatouch 5",,,"(9255-60-07 RON, New Jersey version)",,,,,,,,,,,,,,,
megat5,,megat5,,,"Megatouch 5",,,"(9255-60-01 ROI, Standard version)",,,,,,,,,,,,,,,
megat6,,megat6,,,"Megatouch 6",,,"(9255-80-01 ROA, Standard version)",,,,,,,,,,,,,,,
megatack,,megatack,,,Megatack,,,"(set 1)",,,,,,,,,,,,,,,
megatech,,megatech,,,Mega-Tech,,,,,,,,,,,,,,,,,,
megazone,,megazonec,,,"Mega Zone",,,"(Kosuka set 2)",,,,,,,,,,,,,,,
megazone,,megazonei,,,"Mega Zone",,,(Interlogic),,,,,,,,,,,,,,,
megazone,,megazoneb,,,"Mega Zone",,,"(Kosuka set 1)",,,,,,,,,,,,,,,
megazone,,megazone,,,"Mega Zone",,,"(Konami set 1)",,,,,,,,,,,,,,,
megazone,,megazonea,,,"Mega Zone",,,"(Konami set 2)",,,,,,,,,,,,,,,
meijinsn,,meijinsn,,,Meijinsen,,,,,,,,,,,,,,,,,,
meosism,,meosism,,,"Meosis Magic",,,(Japan),,,,,,,,,,,,,,,
mercs,,mercsu,,,Mercs,,,"(USA 900608)",,,,,,,,,,,,,,,
mercs,,mercsur1,,,Mercs,,,"(USA 900302)",,,,,,,,,,,,,,,
mercs,,mercsj,,,"Senjou no Ookami II",,,"(Japan 900302)",,,,,,,,,,,,,,,
mercs,,mercs,,,Mercs,,,"(World 900302)",,,,,,,,,,,,,,,
merlinmm,,merlinmm,,,"Merlins Money Maze",,,,,,,,,,,,,,,,,,
mermaid,,mermaid,,,Mermaid,,,,,,,,,,,,,,,,,,
mermaid,,yachtmn,,,Yachtsman,,,,,,,,,,,,,,,,,,
metafox,,metafox,,,"Meta Fox",,,,,,,,,,,,,,,,,,
metalb,,metalbj,,,"Metal Black",,,(Japan),,,,,,,,,,,,,,,
metalb,,metalb,,,"Metal Black",,,(World),,,,,,,,,,,,,,,
metamrph,,metamrphu,,,"Metamorphic Force",,,"(ver UAA)",,,,,,,,,,,,,,,
metamrph,,metamrphj,,,"Metamorphic Force",,,"(ver JAA)",,,,,,,,,,,,,,,
metamrph,,metamrph,,,"Metamorphic Force",,,"(ver EAA)",,,,,,,,,,,,,,,
metlclsh,,metlclsh,,,"Metal Clash",,,(Japan),,,,,,,,,,,,,,,
metlhawk,,metlhawkj,,,"Metal Hawk",,,"(Japan, Rev F)",,,,,,,,,,,,,,,
metlhawk,,metlhawk,,,"Metal Hawk",,,"(Rev C)",,,,,,,,,,,,,,,
metlsavr,,metlsavr,,,"Metal Saver",,,,,,,,,,,,,,,,,,
metmqstr,,metmqstr,,,Metamoqester,,,(International),,,,,,,,,,,,,,,
metmqstr,,nmaster,,,"Oni - The Ninja Master",,,(Japan),,,,,,,,,,,,,,,
metrocrs,,metrocrsa,,,Metro-Cross,,,"(set 2)",,,,,,,,,,,,,,,
metrocrs,,metrocrs,,,Metro-Cross,,,"(set 1)",,,,,,,,,,,,,,,
mf_achas,,mf_achas,,,"Astro Chase",,,(Max-A-Flex),,,,,,,,,,,,,,,
mf_bdash,,mf_bdash,,,"Boulder Dash",,,(Max-A-Flex),,,,,,,,,,,,,,,
mf_brist,,mf_brist,,,Bristles,,,(Max-A-Flex),,,,,,,,,,,,,,,
mf_flip,,mf_flip,,,"Flip & Flop",,,(Max-A-Flex),,,,,,,,,,,,,,,
mfightc,,mfightc,,,"Mahjong Fight Club",,,"(ver JAD)",,,,,,,,,,,,,,,
mfish_13,,mfish_12a,,,"Multi Fish",,,"(bootleg, 040308, banking address hack)",,,,,,,,,,,,,,,
mfish_13,,mfish_13,,,"Multi Fish",,,(040316),,,,,,,,,,,,,,,
mfish_13,,mfish_12,,,"Multi Fish",,,(040308),,,,,,,,,,,,,,,
mfjump,,mfjump,,,"Monster Farm Jump",,,(Japan),,,,,,,,,,,,,,,
mfunclub,,mfunclub,,,"Mahjong Fun Club - Idol Saizensen",,,(Japan),,,,,,,,,,,,,,,
mgakuen,,7toitsu,,,Chi-Toitsu,,,,,,,,,,,,,,,,,,
mgakuen,,mgakuen,,,"Mahjong Gakuen",,,,,,,,,,,,,,,,,,
mgakuen2,,mgakuen2,,,"Mahjong Gakuen 2 Gakuen-chou no Fukushuu",,,,,,,,,,,,,,,,,,
mgames,,mgames,,,"Match Games",,,,,,,,,,,,,,,,,,
mgcldtex,,mgcldtex,,,"Magical Date EX / Magical Date - sotsugyou kokuhaku daisakusen",,,"(Ver 2.01J)",,,,,,,,,,,,,,,
mgcldtex,,mgcldate,,,"Magical Date / Magical Date - dokidoki kokuhaku daisakusen",,,"(Ver 2.02J)",,,,,,,,,,,,,,,
mgcrystl,,mgcrystlo,,,"Magical Crystals",,,"(World, 91/12/10)",,,,,,,,,,,,,,,
mgcrystl,,mgcrystlj,,,"Magical Crystals",,,"(Japan, 92/01/13)",,,,,,,,,,,,,,,
mgcrystl,,mgcrystl,,,"Magical Crystals",,,"(World, 92/01/10)",,,,,,,,,,,,,,,
mgcs,,mgcs,,,"Mahjong Man Guan Cai Shen",,,(V103CS),,,,,,,,,,,,,,,
mgfx,,mgfx,,,"Man Guan Fu Xing",,,,,,,,,,,,,,,,,,
mgion,,mgion,,,"Gionbana [BET]",,,"(Japan 890207)",,,,,,,,,,,,,,,
mgmen89,,mgmen89,,,"Mahjong G-MEN'89",,,"(Japan 890425)",,,,,,,,,,,,,,,
mgolf,,mgolf,,,"Atari Mini Golf",,,(prototype),,,,,,,,,,,,,,,
mhavoc,,mhavocp,,,"Major Havoc",,,(prototype),,,,,,,,,,,,,,,
mhavoc,,mhavocrv,,,"Major Havoc",,,"(Return to Vax)",,,,,,,,,,,,,,,
mhavoc,,mhavoc,,,"Major Havoc",,,"(rev 3)",,,,,,,,,,,,,,,
mhavoc,,mhavoc2,,,"Major Havoc",,,"(rev 2)",,,,,,,,,,,,,,,
mhavoc,,alphaone,,,"Alpha One",,,"(prototype, 3 lives)",,,,,,,,,,,,,,,
mhavoc,,alphaonea,,,"Alpha One",,,"(prototype, 5 lives)",,,,,,,,,,,,,,,
mhgaiden,,mhgaiden,,,"Mahjong Hourouki Gaiden",,,(Japan),,,,,,,,,,,,,,,
mhhonban,,zokumahj,,,"Zoku Mahjong Housoukyoku",,,(Japan),,,,,,,,,,,,,,,
mhhonban,,mhhonban,,,"Mahjong Housoukyoku Honbanchuu",,,(Japan),,,,,,,,,,,,,,,
mia,,mia,,,"M.I.A. - Missing in Action",,,"(version T)",,,,,,,,,,,,,,,
mia,,mia2,,,"M.I.A. - Missing in Action",,,"(version S)",,,,,,,,,,,,,,,
mia,,miaj,,,"M.I.A. - Missing in Action",,,"(version R) (Japan)",,,,,,,,,,,,,,,
micrombc,,micrombc,,,"Microman Battle Charge",,,"(J 990326 V1.000)",,,,,,,,,,,,,,,
midnrun,,midnrun,,,"Midnight Run: Road Fighters 2",,,"(EAA, Euro v1.11)",,,,,,,,,,,,,,,
midres,,midresbj,,,"Midnight Resistance",,,"(Joystick bootleg)",,,,,,,,,,,,,,,
